"","BTM:combine( RIG.1.like.receptor.signaling..M68. viral.sensing...immunity..IRF2.targets.network..II...M111.1. type.I.interferon.response..M127. innate.antiviral.response..M150. Activated..LPS..dendritic.cell.surface.signature..S11. antiviral.IFN.signature..M75. TBA..M131. enriched.in.activated.dendritic.cells..II...M165. )","seg10BTVPCRcopiesper1ml_new","IFN_y","BTM:Naive.B.cell.surface.signature..S8.","Proteine.Totali","BTM:TBA..M72.1.","BTM:proinflammatory.dendritic.cell..myeloid.cell.response..M86.1.","BTM:T.cell.activation..II...M7.3.","BTM:mismatch.repair..II...M22.1.","BTM:activated.dendritic.cells..M67.","BTM:TBA..M203.","BTM:proteasome..M226.","lung_pos_cells","BTM:enriched.in.B.cells..V...M47.4.","BTM:enriched.in.B.cells..IV...M47.3.","BTM:DC.surface.signature..S5.","BTM:enriched.in.NK.cells..I...M7.2."
"SLC-39",0.00012334002643466,0,0.56,3.09158406741616e-05,5.8,0.000707762319121175,0.000130872300008855,0.000159011336561266,5.46354786792325e-05,0.000543013469751275,7.59559962264511e-05,0.000186070459212262,0.0811,5.68567524252828e-05,0.000112888459774751,2.75002108627298e-05,9.47468538263774e-05
"SLC-40",0.000210583482149529,0,1.45,3.10838751591547e-05,6.3,0.000792558456617298,0.000163216987305814,0.000125824546094,5.00706501178616e-05,0.000489684847632565,4.97812571134126e-05,0.000185013316780669,0.0452,5.09389395073612e-05,0.000118391102980064,3.3941806770077e-05,9.0378077338249e-05
"SLC-41",0.000149516668477512,0,2.82,2.96540478226248e-05,6.2,0.000759426504841398,0.000116836209069326,0.000121272296908392,6.06282734836316e-05,0.000731542007377239,6.47061180272246e-05,0.00015229350673418,0.0589,8.89878041803183e-05,0.000155615788495211,3.5711994222698e-05,6.83810158217391e-05
"SLC-42",0.000137364098650172,0,1.94,3.34712328708964e-05,6.2,0.00069977149509759,0.000117162149377625,0.000145192838513664,6.41855685903359e-05,0.000616046358198785,6.64837264119367e-05,0.000193401295897955,0.0477,9.98462127590471e-05,0.000160047402276708,2.77192735747001e-05,0.000103688733344987
"SMI6-127",0.000367911798262455,1546600000,15,2.35492196842824e-05,5.9,0.000716047112129248,0.000198148346487015,0.000187469802044316,5.41150389206102e-05,0.00121973521424956,8.20615036469796e-05,0.000227036652279189,0.0405,7.69082964537926e-05,7.00617509519219e-05,6.07925463418368e-05,0.000106335626466558
"SMI8-298",0.00025143493107227,0,4.59,3.07988441663465e-05,7,0.000798400934715282,0.000171448279512765,0.00017003889709688,5.50414948969902e-05,0.000851212084217456,0.00010141852827017,0.00016663510248982,0.02794575,6.18438004411637e-05,7.82594815937898e-05,2.36129421986586e-05,9.71368537632245e-05
"SMI8-297",0.000266261004010504,4712000,0.57,3.5345592286351e-05,6.8,0.000831311528226575,0.000178096832010199,0.000205662035570819,4.82372530339337e-05,0.00065369374650226,8.66522128741831e-05,0.000152276602180867,0.0300315,5.80539312244888e-05,5.58822382517032e-05,3.00360246749953e-05,0.000128503745396191
"SMI8-296",0.000303508591030122,0,2.55,3.44496626982771e-05,7.1,0.000828703458777946,0.000204906417246464,0.000190410782984651,5.80547518576058e-05,0.000700449836852135,9.44162356009137e-05,0.000210859533473329,0.01923375,8.42057541525776e-05,8.49034849605967e-05,4.40146358102744e-05,0.000116944471810987
"SMI8-294",0.000252387663984388,0,1.09,3.71215922814194e-05,7,0.000878309400339061,0.000189796395974051,0.000201687765205349,7.07060680205096e-05,0.000830428067262634,9.72209041321115e-05,0.000174622887187725,0.058401775,7.20167299910202e-05,8.2489929485785e-05,2.7587098225812e-05,0.000121485719469572
"SMI8-293",0.000271254513622976,124340000,1.79,3.36540894900761e-05,7.7,0.000845554779852487,0.000229805589035958,0.000189187477234176,4.26976809144719e-05,0.00110704341243606,9.6271576554674e-05,0.000182654469099708,0.0254304,9.15276698234546e-05,7.67165853163831e-05,6.95998665469766e-05,0.000115784265363406
