"","BTM:CCR1..7.and.cell.signaling..M59.","BTM:cell.adhesion..M51.","BTM:cell.cycle..mitotic.phase..M230.","BTM:combine( TBA..M137. TBA..M180. )","BTM:enriched.in.D..interacting.proteins..M182.","BTM:enriched.in.myeloid.cells.and.monocytes..M81.","BTM:extracellular.matrix..collagen..M210.","BTM:extracellular.matrix..II...M2.1.","BTM:growth.factor.induced..enriched.in.nuclear.receptor.subfamily.4..M94.","BTM:immuregulation...monocytes..T.and.B.cells..M57.","BTM:integrin.mediated.leukocyte.migration..M39.","BTM:mitosis..TF.motif.CCAATNNSNNNGCG...M169.","BTM:platelet.activation...actin.binding..M196.","BTM:platelet.activation..I...M32.0.","BTM:proinflammatory.cytokines.and.chemokines..M29.","BTM:putative.targets.of.PAX3..M89.0.","BTM:RA..WNT..CSF.receptors.network..monocyte...M23.","BTM:regulation.of.localization..GO...M63.","BTM:TBA..M121.","BTM:TBA..M148.","BTM:TBA..M186.","BTM:TBA..M211.","BTM:TBA..M79.","BTM:TBA..source..B.cells...M217.","BTM:translation.initiation.factor.3.complex..M245.","Colesterolo","Creatina.Chinasi..CK.","GOT.AST.","Proteine.Totali","seg10BTVPCRcopiesper1ml_new"
"SMI8-292",2.52780852920687e-05,2.52777791198699e-05,0.000136488025928472,0.000201580855739403,4.49392127259696e-05,3.1968321865028e-05,2.21181066422105e-05,8.37288789918844e-05,5.05568840813986e-06,8.66628059676966e-05,6.16114661260436e-05,0.000110136639815073,1.12347025980064e-05,6.19261259668935e-05,2.21181266082393e-05,0,1.73785867114695e-05,4.55004705106621e-05,0.000629277669292438,6.66402223714613e-05,8.53057267140578e-05,0.000131414178691447,9.47943673224039e-06,0,0.000526364127090506,134,136,146,9.8,81420000
"SMI6-130",1.74167236823841e-05,1.48039282574786e-05,0.000106581809035555,0.000157674681456887,4.76053234459428e-05,2.64311417617069e-05,5.7468194429644e-05,8.6205624892699e-05,4.18004280389184e-06,8.65835700309958e-05,4.44101766539085e-05,0.000104497045948504,1.85775678933631e-05,5.85152342733597e-05,5.22508353606455e-06,3.48336778976943e-06,1.56749366571063e-05,3.34391937402145e-05,0.000620617399870182,6.36473875981203e-05,0.000125384782232896,0.000151472662536234,5.22506988542837e-06,5.22505623479219e-06,0.000808899372417127,68,131,74,6.2,36420000
"SMI8-295",2.81291499468761e-05,1.89867772946162e-05,0.000147655753304887,0.000195568854021833,6.18834668570933e-05,5.80735926762888e-05,2.53156101104324e-05,9.96741188208361e-05,6.75106339831366e-06,8.92046936891155e-05,4.85225058173278e-05,0.000113316468205893,1.0313978829668e-05,7.38277716141322e-05,7.17254987083749e-05,1.40647668445126e-06,2.10966191531714e-05,4.97864488391286e-05,0.000527663108079057,7.67132413501681e-05,9.49262359484226e-05,0.000135828378820868,9.49366699209975e-06,4.21943598793995e-06,0.000482064317305131,79,171,78,7.1,0
"SMI6-135",1.24167640318529e-05,2.25050240811875e-05,0.000140608351466565,0.000177756466189338,3.41461047028702e-05,4.32732796609159e-05,2.21167162033353e-05,7.97310604192525e-05,1.11750156477353e-05,0.000131693753010476,3.60846544416038e-05,9.97748913869057e-05,1.03472613373068e-05,5.68015431856583e-05,1.86250737796989e-05,3.10423075600141e-06,1.51329883006923e-05,5.12169467015156e-05,0.0012902731742801,7.87312506542737e-05,8.3803955351236e-05,0.000147084084777926,1.62970804804541e-05,2.32817216372361e-06,0.000445141679150662,92,96,67,5.6,4.048e+09
"SMI6-134",2.88029993578132e-05,4.43094142978939e-05,0.000109001106012974,0.000156485786859895,4.28355832040594e-05,3.51873159116778e-05,8.6390088624988e-05,9.05547116460959e-05,7.9763333331595e-06,0.000136727669404202,3.65575534777562e-05,8.8305984182524e-05,1.92015736064644e-05,5.9150216938475e-05,2.65875686569217e-05,6.64694002616706e-06,2.32636586914303e-05,2.92457945045843e-05,0.00105504860072103,6.16325709865695e-05,0.000112986466423326,0.000127584171939255,4.9852008774387e-06,0,0.00060649969198634,56,63,64,5.9,474800000
"SMI6-128",9.80220522261988e-06,2.05841516434102e-05,0.000127020265884514,0.000156098033048169,3.00601453029348e-05,3.18266026078096e-05,1.76430632174984e-05,6.17491091547961e-05,4.70509079075754e-06,0.000110897529183918,3.23455424739993e-05,9.49383884034649e-05,1.17626301259222e-05,3.17573575681074e-05,1.47032746866671e-05,3.92090745493512e-06,2.94067914996532e-06,3.05818948238556e-05,0.00130614635940707,6.84335138814163e-05,8.23292116896024e-05,0.000116417605289021,4.41100467263311e-06,5.88133235734922e-06,0.000771443105414882,106,113,95,5.9,3.728e+09
"SMI13-291",1.22737316037291e-05,2.34306393589456e-05,0.000194108542758809,0.000222982528943039,5.50449235994233e-05,3.89859098044454e-05,3.17984420297179e-05,5.48103763009511e-05,8.03376502189757e-06,9.27645559785084e-05,3.3473133938422e-05,0.000146795389154519,1.19017410886713e-05,5.45568603997904e-05,1.00422163620273e-05,4.46319980196286e-06,1.17157850980654e-05,3.34731395301713e-05,0.00116556006139801,9.43249338354324e-05,9.53900809168573e-05,0.000150578265537549,1.17158467238809e-05,0,0.000512940230845915,96,97,132,8.5,1205800000
"SMI13-290",1.33401995345839e-05,1.15847354911214e-05,0.00010698681243726,0.000139363999428044,4.91469080632356e-05,2.62660630512279e-05,2.73803155224073e-05,3.81759638439227e-05,1.01103765270949e-05,7.94343971259881e-05,1.21115147238005e-05,0.000107417912619923,6.08499097776161e-06,5.26518497481199e-05,2.00102639940081e-05,7.0211544580534e-06,1.1584812389609e-05,3.91771201140312e-05,0.000532543247777628,4.32741020779392e-05,7.26642882513673e-05,6.94990502050352e-05,5.79248258802956e-06,4.21271249195776e-06,0.000913714637197138,59,445,95,7.6,196360000
"SMI13-289",1.81076560541449e-05,1.76041123856052e-05,0.000102598510035579,0.00016292622056735,4.89571916484355e-05,3.62127781023958e-05,6.56273931796125e-05,5.01718779475357e-05,1.08646198628826e-05,0.000123295000630241,1.73532908434026e-05,0.000118126201218427,6.03589749470501e-06,7.15154906378856e-05,1.50897432320551e-05,4.02395662568722e-06,2.18796318400827e-05,5.13031927391605e-05,0.000609254681901206,4.3895864882737e-05,7.69503832300789e-05,9.11206058098468e-05,6.03592734860214e-06,1.50898411410694e-06,0.000607149571671295,68,55,100,9.4,82020000
"SMI13-288",4.54824551443522e-06,9.66481179243139e-06,0.000145294814037245,0.000175768547192146,5.53357523136455e-05,3.4108886832751e-05,5.6274459679706e-05,5.20186861352467e-05,8.18674511493533e-06,0.000114020099595713,3.24058512601866e-05,0.000119872548490774,5.30627551564855e-06,8.18501696080443e-05,1.02335000455867e-05,5.68528297439919e-06,1.53500915316407e-05,5.3212039554662e-05,0.000903885369831547,4.58945410710676e-05,9.89114286007453e-05,0.000110490501213922,4.26398247266313e-06,0,0.000591904437717616,82,80,232,8,530400000
"SMI13-287",1.87859116207445e-05,9.39285052869998e-06,9.91803363297183e-05,0.000151622967393239,4.34157997388773e-05,6.27594885473926e-05,8.92075144824922e-05,6.01125903993971e-05,1.20230173163982e-05,9.33834897045571e-05,2.06646238307684e-05,9.66113609690566e-05,2.00381225370361e-05,7.02465059450041e-05,5.63578724932512e-06,6.2620160261595e-06,3.00559017252233e-05,6.83775708989476e-05,0.000774833331300462,4.0986415124955e-05,6.38679893643079e-05,7.81354989911609e-05,3.75721620349267e-06,1.87860633715786e-06,0.000607527877491076,70,249,105,8.3,160980000
"SMI13-286",7.91632633112549e-06,1.10826518235907e-05,0.000123476168503389,0.000137285458744918,4.22196272678033e-05,1.89984944178878e-05,4.51181565606085e-05,2.84982999216865e-05,1.13994142623142e-05,9.36333758045915e-05,2.96861069499776e-05,0.000118737005931013,7.38857129789494e-06,5.84165961703409e-05,4.74979279041499e-06,0,1.18743325188131e-05,4.27469214996368e-05,0.000493216192548607,5.09500503729221e-05,8.07394172204212e-05,8.16843233997222e-05,4.74980407072501e-06,0,0.000757455428408216,84,113,119,7.8,237600000
