"dpi","ID","Fosforo","Ferro","Calcemia","Magnesio","Albumina","Proteine.Totali","Glucosio","Azotemia.BUN.","Fosfatasi.Alcalina.ALP.","Creatina.Chinasi..CK.","LDH","GPT.ALT.","Gamma.GT","GOT.AST.","Trigliceridi","Colesterolo","Conteggio.Globuli.Bianchi..WBC.","Conteggio.Globuli.Rossi..RBC.","Emoglobina..HGB.","Ematocrito..HCT.","Volume.Globulare.Medio..MCV.","Conteggio.Piastrine..PLT.","Volume.Medio.Piastrine..MPV.","Neutrofili","Linfociti","Monociti","Eosinofili","Basofili","Bilirubina.totale","Amilasi","Acido.Urico","IFN_y","IL.1alpha","IL.1_beta","IL.4","IL.6","IL.10","IL.17_A","MIP.1_alpha","IL.36_AK","IP.10","MCP.1","MIP.1beta","TNF.alpha","VEGF.A","rectal..temperature","number.of.follicles.mean.per.prescapular.ln","percentpositivenucleiFOXP3cortexnofollicles","percentpositivenucleiFOXP3wholefollicle","percentpositivenucleiFOXP3wholelymphnode","percentpositivenucleiFOXP3medulla","percentpositivenucleiFOXP3folliclecentres","average_Linear_regression_fit_based_on_Blank_corrected_in_ng_ml_450","milk_BTV_ELISA","CD3_lymph_node","Pax.5_lymph_node","CD3_Follicles","Pax.5_Follicles","seg10BTVPCRcopiesper1ml_new","tongue_pos_cells","lung_pos_cells","infected_skin_superficial_dermis_pos_cells","infected_skin_deep_dermis_pos_cells","non.infected_skin_superficial_dermis_pos_cells","non.infected_skin_deep_dermis_pos_cells","spleen_pos_cells","lymph_nodes_cortex_pos_cells"
"1","SLC-38","6.6","150","10.3","2.08","3.7","6.7","33","19","93","242","947","16","64.9","98","30","47","10.15","11.44","11.8","34.9","30.5","588","7","49.7","39.7","2.4","5.1","1.7",NA,NA,NA,"0","24.57","52.5","65.69","153.71","173.89","6.82","371.67","68.06","473.3","382.77","0","2948.87","351.68","39.4",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLC-39","4.7","205","9.7","2.34","3.4","6.1","44","14","128","110","1249","20","68.6","150","17","21","10.86","9.95","11.2","33.2","33.4","801","11.2","44.6","38.8","5.6","8.4","1.8",NA,NA,NA,"0","29.09","0","13.94","0","139.99","0","238.94","69.2","501.72","148.65","0","2844.22","294.49","39.3",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLC-40","7.9","149","8.6","2.35","3.1","6.2","43","17","98","93","907","17","98.4","86","15","25","8.89","8.79","9.2","28","31.9","750","11.4","31.8","47.2","2.2","14.3","2.5",NA,NA,NA,"0","64.88","0","22.21","0","193.38","0","422.06","96.05","466.99","331.18","0","5058.08","167.1","39.4",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLC-41","6.3","190","10.5","2.37","3.4","6.7","43","17","119","505","1084","26","85.6","158","18","38","10.05","9.24","10.1","29.6","32","949","14.1","37.3","51.8","2.4","3.8","2.7",NA,NA,NA,"2.58","148.7","20.92","205.47","116.94","1078.57","12.11","951.7","369.47","1593.96","1437.3","18.52","21868.48","714.85","38.6",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLC-42","5.5","127","9.5","2.05","3.2","6.3","35","12","190","385","1122","23","56.6","117","24","64","14.89","9.43","10.4","31.7","33.6","708","8.6","45.2","27.7","9.8","15.2","1.7",NA,NA,NA,"0","16.42","0","39.15","0","113.99","0","182.05","84.82","597.02","174.1","0","2174.54","152.11","38.4",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI13-29","6.5","178","10.2","2.12","3.4","6.4","53","19","111","133","911","11","73.1","89","16","31","6.58","11.41","12.1","38.8","34","653","6.5","28.4","64.5","1.7","3.1","0.8",NA,NA,NA,"0","31.57","0","63.53","0","106.68","0","253.63","45.38","544.22","246.44","0","1951.84","172.47","39.1",NA,NA,NA,NA,NA,NA,"12.941",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI13-30","7.3","110","9.7","2.3","3.4","6.2","52","12","119","246","1144","16","64.8","122","15","16","8.28","8.61","9","27.2","31.6","710","9.6","49.6","44.7","1.4","2.7","0.8",NA,NA,NA,"0.89","1.72","0","67.84","0","30.4","0","150.63","31.27","670.7","75.35","0","575.69","134.66","39.2",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI13-31","6.3","146","9.4","2.3","3.4","5.8","50","15","84","122","866","16","63","77","19","28","8.32","9.66","10.2","31.3","32.4","827","11.3","46.3","40.4","2.2","9.3","0.9",NA,NA,NA,"0.48","52.61","0","24.41","67.76","343.49","0","1080.93","139.65","738.69","1297.54","0","9625.25","512.91","39.1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI13-32","5.3","139","9.4","2.25","3.3","6.1","43","17","103","123","946","14","85.3","72","21","34","9.28","8.13","8.7","26.5","32.6","1076","7.6","41.8","46.9","4","5.9","0.9",NA,NA,NA,"0","49.67","0","20.56","0","388.95","0","374.14","232.56","632.07","471.92","0","6225.03","277.06","39.1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI13-33","6.1","163","9.3","2.08","3.2","5.9","51","13","174","292","963","17","96.6","94","15","25","5.17","9.56","9.3","27.5","28.7","538","5.6","37.2","55.6","1.5","3.8","0.7",NA,NA,NA,"1.16","19.08","0","0","87.72","231.57","0","297.16","50.52","538.14","272.84","0","2844.22","532.47","39",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI13-34","4.1","113","9.5","2","3.2","6.6","51","17","278","234","1233","18","69.3","128","19","29","6.47","9.59","10.2","31.7","33","688","8.5","35.5","52.7","4.9","5.4","0.9",NA,NA,NA,"0","27.32","0","70.54","0","212.39","0","416.21","62.87","791.09","311.55","0","4274.77","230.35","39",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"613",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI13-35","5.3","167","9.4","2.17","3.3","6.4","39","22","128","646","1331","22","67.8","251","19","20","7.61","9","10","30.4","33.8","704","12","41.2","47.5","6.4","4.1","0.6",NA,NA,NA,"0.4","0","0","0","0","40.84","0","139.92","26.55","433.56","0","0","0","52.45","39.2",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI6-22","3.8","217","10.1","2.52","3.5","6.3","50","18","193","290","1243","13","82.9","173","28","23","6.46","8.37","9.7","27.5","32.8","1207","18.7","26.4","56","2.5","11.3","1.1",NA,NA,NA,"0","5.21","0","59.21","0","39","0","164.84","46.13","426.37","126.09","0","989.95","155.48","39.1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI6-23","8.9","124","9.1","2.32","3","5.8","47","21","197","155","1031","15","82.6","104","19","33","4.9","10.56","11.9","34","32.2","667","8.2","33.4","49.9","7","8","0.9",NA,NA,NA,"0","2.98","0","58.67","76.82","69.28","0","220.42","34.01","407.49","129.14","0","592.32","495.71","39.1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI6-24","6.2","161","8.7","2.51","2.8","6.5","45","15","109","814","1378","33","69.5","369","13","21","7.59","8.52","9.8","29.2","34.3","365","15.9","27.6","62.6","6.1","2.2","0.8",NA,NA,NA,"0.33","7.93","0","60.83","0","145.16","0","208.68","35.25","676.39","130.66","0","1951.84","447","39.1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI6-25","4.5","177","10","2.9","3.7","6.4","53","13","86","954","1305","26","77.4","252","16","27","8.44","11.46","11.5","34.5","30.1","693","9.1","43.1","44.5","6.6","4.5","1.2",NA,NA,NA,"0","1.48","0","45.13","224.1","31.01","0","103.84","31.27","512.19","64.03","0","0","265.32","38.8",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI6-26","7.7","122","9.1","2.9","3.2","6","47","20","92","824","1514","34","61.9","280","17","22","7.75","8.97","9.5","28","31.2","281","24.8","33.5","49.6","10.1","4.9","1.2",NA,NA,NA,"0","4.54","0","60.29","321.25","49.46","0","226.97","58.2","362.99","133.7","0","1249.49","160.28","39.1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1","SLI6-27","7","110","10","2.67","3.6","6.7","48","27","191","143","1089","18","89.5","139","13","35","8.91","8.45","9.6","29.3","34.7","809","9.6","50.7","41","2.7","2.9","0.8",NA,NA,NA,"0","6.69","0","89.9","6073.36","102.56","0","218.77","43.62","407.07","141.96","0","1097.47","196.87","40.2",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
