"","logFC","logCPM","F","PValue","FDR","all_gene_names$gene_name[match(rownames(TT$table), all_gene_names$sheep_ID)]"
"ENSOARG00000020666",1.91994097971423,-1.22371458703323,4.25981751837563,0.0462393065804405,0.194792619157153,""
"ENSOARG00000006730",0.43717651468113,4.96184807559149,4.2590681890319,0.0462574739378715,0.19483881362528,"PI15"
"ENSOARG00000015191",-1.37064543594117,-1.42366806044312,4.25559485142057,0.0463417870939101,0.195163559781856,"SHBG"
"ENSOARG00000012397",-0.190534121848795,7.9264073551215,4.25410730631448,0.0463779480824051,0.195285448625897,"SRPRA"
"ENSOARG00000003623",-0.36241835268862,2.91237940290451,4.25331700320937,0.0463971723322285,0.195335994440727,""
"ENSOARG00000009409",0.337291140594809,5.7917295337561,4.25263349777799,0.046413805787136,0.195375618759169,"SNX13"
"ENSOARG00000024355",-0.562057740798548,0.963278918644677,4.25096280739344,0.0464544905385796,0.1955164572232,""
"ENSOARG00000007125",-0.231055334970208,4.68335926423699,4.24995719620329,0.0464789981721678,0.195589176629309,"CLNS1A"
"ENSOARG00000006933",0.262045822782176,6.53714555149305,4.24907063305443,0.0465006163082144,0.195640790846714,"RSF1"
"ENSOARG00000018608",0.259501600065863,5.04303347207176,4.24886112778233,0.0465057265445116,0.195640790846714,"SMCR8"
"ENSOARG00000016369",-0.188864398639089,7.71417643538895,4.24843359571591,0.0465161567920569,0.195654245312859,"DDX1"
"ENSOARG00000014791",-0.558442690582278,0.63889603543367,4.24778359830791,0.0465320193306611,0.195690541111722,NA
"ENSOARG00000025732",-2.26165880672361,-2.31965284149451,4.2460523277446,0.046574298330538,0.19583790286515,NA
"ENSOARG00000016872",2.72307009626776,-2.37590440273504,4.2437297026765,0.0466310851323571,0.196046212458553,"LRRC75A"
"ENSOARG00000018448",-0.276767698794965,3.69864000023676,4.24338276047607,0.0466395742060837,0.196051435763112,"FAAP100"
"ENSOARG00000022164",-1.32044351637333,-1.42158850520468,4.24256226307028,0.0466596571263337,0.196105385101108,NA
"ENSOARG00000000698",-0.23396973241383,5.8476669201519,4.24218661281046,0.0466688549148588,0.196113575779216,"MLLT10"
