"","BTV.1-2006_6h.
N=459","BTV.1-2013_6h.
N=598","BTV.8-2017_6h.
N=612","gene_names"
"ENSOARG00000009357",0,1,1,"ZHX2"
"ENSOARG00000019897",0,1,1,"NR3C1"
"ENSOARG00000004675",0,1,1,"UBR1"
"ENSOARG00000018916",0,1,1,"OPTN"
"ENSOARG00000017355",0,1,1,"IL18BP"
"ENSOARG00000010010",0,1,1,"NYNRIN"
"ENSOARG00000005633",0,1,1,"RGS3"
"ENSOARG00000009999",0,1,1,"SNORD12"
"ENSOARG00000009555",0,1,1,"SLC4A4"
"ENSOARG00000014957",0,1,1,"SEMA3A"
"ENSOARG00000010053",0,1,1,"TNFAIP1"
"ENSOARG00000026689",0,1,1,"RGS17"
"ENSOARG00000011249",0,1,1,"DNAJB1"
"ENSOARG00000009733",0,1,1,"-"
"ENSOARG00000006739",0,1,1,"HSPA8"
"ENSOARG00000002227",0,1,1,"CDKL3"
"ENSOARG00000005430",0,1,1,"NABP1"
"ENSOARG00000017797",0,1,1,"NAA15"
"ENSOARG00000011360",0,1,1,"CHST12"
"ENSOARG00000000329",0,1,1,"ZNF135"
"ENSOARG00000015272",0,1,1,"WISP1"
"ENSOARG00000006343",0,1,1,"NBN"
"ENSOARG00000010578",0,1,1,"GGPS1"
"ENSOARG00000004076",0,1,1,"PLEK"
"ENSOARG00000001022",0,1,1,"RFFL"
"ENSOARG00000000229",0,1,1,"PLA2G4A"
"ENSOARG00000017288",0,1,1,"RRP15"
"ENSOARG00000014119",0,1,1,"TRIB2"
"ENSOARG00000014698",0,1,1,"PUM3"
"ENSOARG00000008357",0,1,1,"BAK1"
"ENSOARG00000006459",0,1,1,"PCDH17"
"ENSOARG00000009235",0,1,1,"-"
"ENSOARG00000008057",0,1,1,"RNF139"
"ENSOARG00000014752",0,1,1,"NXN"
"ENSOARG00000009280",0,1,1,"-"
"ENSOARG00000019788",0,1,1,"-"
"ENSOARG00000012911",0,1,1,"APLF"
"ENSOARG00000010671",0,1,1,"SCN9A"
"ENSOARG00000009996",0,1,1,"CHORDC1"
"ENSOARG00000001711",0,1,1,"MYH15"
"ENSOARG00000016854",0,1,1,"SMAGP"
"ENSOARG00000021076",0,1,1,"MFHAS1"
"ENSOARG00000015262",0,1,1,"ZYG11B"
